# 流道點位範例資料
# 此檔案示範 BlockMesh Studio 支援的資料格式
# X: 徑向位置（內壁 < 外壁）
# Y: 未使用（可設為 0）
# Z: 流道發展方向（軸向位置）
#
# 資料會自動依 X 座標平均值分離為內外曲線
# 內曲線：X < 平均值
# 外曲線：X >= 平均值

# X, Y, Z
# 內曲線點位
0.10, 0.0, 0.00
0.11, 0.0, 0.10
0.12, 0.0, 0.20
0.13, 0.0, 0.30
0.14, 0.0, 0.40
0.15, 0.0, 0.50
0.16, 0.0, 0.60
0.17, 0.0, 0.70
0.18, 0.0, 0.80
0.19, 0.0, 0.90
0.20, 0.0, 1.00
# 外曲線點位
0.30, 0.0, 0.00
0.31, 0.0, 0.10
0.32, 0.0, 0.20
0.33, 0.0, 0.30
0.34, 0.0, 0.40
0.35, 0.0, 0.50
0.36, 0.0, 0.60
0.37, 0.0, 0.70
0.38, 0.0, 0.80
0.39, 0.0, 0.90
0.40, 0.0, 1.00
